instrument_name,creation_timestamp,mark_iv
BTC-25JUL25-96000-P,1749938299496,43.01
BTC-20JUN25-85000-P,1749938299496,74.54
BTC-27JUN25-82000-P,1749938299496,62.77
BTC-25JUL25-126000-P,1749938299496,42.03
BTC-20JUN25-95000-P,1749938299496,53.78
BTC-17JUN25-96000-P,1749938299496,60.64
BTC-20JUN25-108000-C,1749938299496,36.84
BTC-26SEP25-75000-P,1749938299496,50.9
BTC-17JUN25-110000-C,1749938299496,33.61
BTC-26DEC25-140000-C,1749938299496,47.63
BTC-17JUN25-111000-P,1749938299496,35.05
BTC-20JUN25-118000-C,1749938299496,44.74
BTC-16JUN25-102000-C,1749938299496,44.09
BTC-20JUN25-116000-C,1749938299496,42.16
BTC-4JUL25-115000-P,1749938299496,38.11
BTC-17JUN25-122000-P,1749938299496,63.46
BTC-4JUL25-110000-C,1749938299496,37.76
BTC-29AUG25-126000-P,1749938299496,43.38
BTC-20JUN25-112000-P,1749938299496,37.71
BTC-26SEP25-140000-C,1749938299496,46.2
BTC-27MAR26-340000-P,1749938299496,56.74
BTC-25JUL25-92000-P,1749938299496,44.62
BTC-27JUN25-60000-C,1749938299496,111.8
BTC-27MAR26-110000-P,1749938299496,47.35
BTC-25JUL25-110000-P,1749938299496,40.24
BTC-15JUN25-109000-C,1749938299496,43.72
BTC-29AUG25-40000-C,1749938299496,82.67
BTC-4JUL25-117000-P,1749938299496,38.6
BTC-16JUN25-109000-C,1749938299496,30.29
BTC-25JUL25-75000-C,1749938299496,56.14
BTC-29AUG25-85000-P,1749938299496,47.01
BTC-25JUL25-94000-C,1749938299496,43.75
BTC-20JUN25-102000-C,1749938299496,42.14
BTC-27MAR26-70000-C,1749938299496,51.03
BTC-27JUN25-125000-C,1749938299496,44.67
BTC-15JUN25-122000-P,1749938299496,63.89
BTC-27JUN25-140000-P,1749938299496,58.95
BTC-26DEC25-80000-P,1749938299496,48.94
BTC-26DEC25-280000-C,1749938299496,56.29
BTC-26DEC25-180000-C,1749938299496,50.55
BTC-25JUL25-122000-P,1749938299496,41.24
BTC-17JUN25-104000-P,1749938299496,37.45
BTC-16JUN25-107000-C,1749938299496,29.67
BTC-27JUN25-260000-C,1749938299496,118.92
BTC-27MAR26-135000-C,1749938299496,48.0
BTC-4JUL25-145000-C,1749938299496,55.43
BTC-27MAR26-115000-P,1749938299496,47.46
BTC-26DEC25-400000-C,1749938299496,62.53
BTC-27JUN25-115000-C,1749938299496,38.27
BTC-26SEP25-125000-P,1749938299496,44.77
BTC-16JUN25-98000-P,1749938299496,59.37
BTC-27MAR26-190000-P,1749938299496,50.64
BTC-25JUL25-112000-P,1749938299496,40.3
BTC-25JUL25-108000-C,1749938299496,40.38
BTC-26SEP25-60000-C,1749938299496,59.97
BTC-16JUN25-112000-P,1749938299496,42.96
BTC-25JUL25-110000-C,1749938299496,40.24
BTC-29AUG25-90000-P,1749938299496,45.38
BTC-4JUL25-85000-P,1749938299496,52.08
BTC-26SEP25-100000-C,1749938299496,44.5
BTC-27JUN25-240000-P,1749938299496,111.57
BTC-26DEC25-220000-C,1749938299496,53.35
BTC-27MAR26-300000-C,1749938299496,55.82
BTC-17JUN25-102000-C,1749938299496,42.45
BTC-27MAR26-220000-C,1749938299496,51.9
BTC-29AUG25-98000-P,1749938299496,43.69
BTC-27JUN25-105000-P,1749938299497,38.2
BTC-26DEC25-120000-P,1749938299497,46.66
BTC-15JUN25-116000-C,1749938299497,53.84
BTC-27MAR26-210000-C,1749938299497,51.5
BTC-29AUG25-100000-P,1749938299497,43.44
BTC-26DEC25-160000-C,1749938299497,49.07
BTC-15JUN25-105500-C,1749938299497,22.18
BTC-16JUN25-110000-C,1749938299497,34.59
BTC-27MAR26-30000-P,1749938299497,71.55
BTC-17JUN25-107000-C,1749938299497,32.77
BTC-17JUN25-120000-P,1749938299497,56.84
BTC-27MAR26-300000-P,1749938299497,55.82
BTC-15JUN25-110000-C,1749938299497,43.72
BTC-26DEC25-260000-C,1749938299497,55.53
BTC-15JUN25-114000-C,1749938299497,50.35
BTC-29AUG25-98000-C,1749938299497,43.69
BTC-26DEC25-90000-C,1749938299497,47.4
BTC-27JUN25-92000-P,1749938299497,49.65
BTC-25JUL25-105000-P,1749938299497,40.68
BTC-20JUN25-114000-P,1749938299497,39.41
BTC-20JUN25-109000-P,1749938299497,36.86
BTC-20JUN25-102000-P,1749938299497,42.14
BTC-26DEC25-65000-C,1749938299497,53.36
BTC-27JUN25-250000-P,1749938299497,115.8
BTC-17JUN25-98000-C,1749938299497,54.18
BTC-20JUN25-140000-C,1749938299497,78.45
BTC-15JUN25-96000-P,1749938299497,76.56
BTC-26DEC25-105000-P,1749938299497,46.47
BTC-27JUN25-90000-P,1749938299497,51.93
BTC-25JUL25-135000-P,1749938299497,44.61
BTC-26SEP25-190000-P,1749938299497,52.82
BTC-26SEP25-115000-C,1749938299497,44.17
BTC-25JUL25-50000-P,1749938299497,86.57
BTC-26DEC25-85000-P,1749938299497,48.06
BTC-26SEP25-200000-C,1749938299497,54.75
BTC-25JUL25-86000-C,1749938299497,47.95
BTC-27JUN25-280000-C,1749938299497,127.49
BTC-25JUL25-102000-P,1749938299497,41.36
BTC-15JUN25-113000-P,1749938299497,45.12
BTC-27MAR26-115000-C,1749938299497,47.46
BTC-17JUN25-106000-C,1749938299497,33.08
BTC-27MAR26-160000-P,1749938299497,49.01
BTC-16JUN25-96000-C,1749938299497,68.51
BTC-29AUG25-114000-P,1749938299497,42.77
BTC-29AUG25-160000-C,1749938299497,48.78
BTC-27MAR26-105000-P,1749938299497,47.69
BTC-25JUL25-115000-C,1749938299497,40.41
BTC-17JUN25-101000-C,1749938299497,45.12
BTC-15JUN25-124000-C,1749938299497,63.9
BTC-29AUG25-145000-P,1749938299497,45.62
BTC-16JUN25-111000-C,1749938299497,37.88
BTC-25JUL25-170000-C,1749938299497,58.24
BTC-16JUN25-103000-P,1749938299497,40.23
BTC-25JUL25-150000-P,1749938299497,50.61
BTC-4JUL25-125000-C,1749938299497,41.76
BTC-26DEC25-75000-C,1749938299497,50.09
BTC-4JUL25-94000-C,1749938299497,43.93
BTC-25JUL25-40000-P,1749938299497,105.57
BTC-4JUL25-109000-C,1749938299497,37.76
BTC-4JUL25-114000-P,1749938299497,38.02
BTC-27JUN25-400000-P,1749938299497,136.81
BTC-20JUN25-145000-C,1749938299497,85.23
BTC-29AUG25-124000-P,1749938299497,43.14
BTC-26SEP25-150000-C,1749938299497,47.43
BTC-16JUN25-120000-C,1749938299497,60.09
BTC-17JUN25-106000-P,1749938299497,33.08
BTC-20JUN25-109000-C,1749938299497,36.86
BTC-27MAR26-60000-P,1749938299497,53.87
BTC-27MAR26-190000-C,1749938299497,50.64
BTC-17JUN25-100000-P,1749938299497,48.03
BTC-20JUN25-112000-C,1749938299497,37.71
BTC-15JUN25-120000-P,1749938299497,63.86
BTC-27JUN25-95000-P,1749938299497,46.58
BTC-16JUN25-100000-P,1749938299497,52.58
BTC-27JUN25-102000-P,1749938299497,40.14
BTC-15JUN25-106500-C,1749938299497,23.37
BTC-25JUL25-118000-P,1749938299497,40.59
BTC-27JUN25-95000-C,1749938299497,46.58
BTC-26DEC25-240000-P,1749938299497,54.48
BTC-26DEC25-230000-P,1749938299497,53.87
BTC-17JUN25-110000-P,1749938299497,33.61
BTC-27JUN25-88000-C,1749938299497,54.46
BTC-16JUN25-116000-C,1749938299497,50.15
BTC-20JUN25-100000-P,1749938299497,45.68
BTC-27MAR26-95000-C,1749938299497,47.9
BTC-27JUN25-190000-C,1749938299497,94.84
BTC-27JUN25-75000-P,1749938299497,75.91
BTC-4JUL25-116000-P,1749938299497,38.46
BTC-26SEP25-170000-C,1749938299497,49.94
BTC-4JUL25-106000-P,1749938299497,38.07
BTC-26DEC25-125000-P,1749938299497,46.84
BTC-25JUL25-40000-C,1749938299497,105.57
BTC-16JUN25-102000-P,1749938299497,44.09
BTC-26SEP25-120000-P,1749938299497,44.43
BTC-17JUN25-118000-P,1749938299497,56.01
BTC-27JUN25-125000-P,1749938299499,44.67
BTC-29AUG25-112000-C,1749938299499,42.74
BTC-20JUN25-150000-P,1749938299499,91.46
BTC-27JUN25-101000-P,1749938299499,40.74
BTC-27JUN25-108000-P,1749938299499,37.56
BTC-27JUN25-100000-C,1749938299499,41.53
BTC-16JUN25-94000-C,1749938299499,79.71
BTC-27JUN25-112000-P,1749938299499,37.57
BTC-15JUN25-111000-P,1749938299499,43.72
BTC-29AUG25-60000-P,1749938299499,62.85
BTC-27JUN25-45000-C,1749938299499,140.5
BTC-27MAR26-200000-C,1749938299499,51.12
BTC-29AUG25-95000-C,1749938299499,44.17
BTC-26DEC25-50000-C,1749938299499,61.48
BTC-4JUL25-95000-P,1749938299499,43.14
BTC-20JUN25-113000-P,1749938299499,38.01
BTC-20JUN25-98000-C,1749938299499,48.4
BTC-26DEC25-190000-C,1749938299499,51.24
BTC-27JUN25-111000-C,1749938299499,37.57
BTC-26SEP25-40000-C,1749938299499,77.16
BTC-4JUL25-110000-P,1749938299499,37.76
BTC-27MAR26-320000-P,1749938299499,55.84
BTC-4JUL25-95000-C,1749938299499,43.14
BTC-27JUN25-55000-P,1749938299499,127.67
BTC-27JUN25-55000-C,1749938299499,127.67
BTC-26DEC25-320000-P,1749938299499,58.89
BTC-20JUN25-120000-P,1749938299499,48.1
BTC-29AUG25-118000-C,1749938299499,42.83
BTC-27JUN25-112000-C,1749938299499,37.57
BTC-27MAR26-210000-P,1749938299499,51.5
BTC-20JUN25-108000-P,1749938299499,36.84
BTC-29AUG25-106000-P,1749938299499,42.96
BTC-26DEC25-110000-P,1749938299499,46.47
BTC-4JUL25-118000-P,1749938299499,39.08
BTC-20JUN25-106000-P,1749938299499,37.38
BTC-29AUG25-122000-P,1749938299499,43.04
BTC-20JUN25-113000-C,1749938299499,38.01
BTC-27MAR26-340000-C,1749938299499,56.74
BTC-29AUG25-135000-C,1749938299499,44.3
BTC-16JUN25-106000-C,1749938299499,29.82
BTC-20JUN25-130000-C,1749938299499,67.23
BTC-25JUL25-160000-C,1749938299499,54.06
BTC-27JUN25-40000-C,1749938299499,140.5
BTC-4JUL25-130000-C,1749938299499,44.44
BTC-25JUL25-84000-P,1749938299499,49.28
BTC-4JUL25-103000-P,1749938299499,39.02
BTC-27JUN25-170000-C,1749938299499,89.85
BTC-25JUL25-106000-C,1749938299499,40.6
BTC-20JUN25-94000-P,1749938299499,55.85
BTC-27MAR26-75000-P,1749938299499,50.05
BTC-26SEP25-280000-C,1749938299499,63.01
BTC-27JUN25-75000-C,1749938299499,75.91
BTC-20JUN25-116000-P,1749938299499,42.16
BTC-26SEP25-400000-C,1749938299499,80.61
BTC-26DEC25-320000-C,1749938299499,58.89
BTC-27JUN25-190000-P,1749938299499,94.84
BTC-4JUL25-101000-P,1749938299499,39.69
BTC-4JUL25-107000-C,1749938299499,37.86
BTC-29AUG25-70000-P,1749938299499,55.19
BTC-17JUN25-118000-C,1749938299499,56.01
BTC-16JUN25-103000-C,1749938299499,40.23
BTC-26SEP25-150000-P,1749938299499,47.43
BTC-4JUL25-108000-P,1749938299499,37.75
BTC-4JUL25-98000-C,1749938299499,41.2
BTC-27JUN25-110000-P,1749938299499,37.57
BTC-29AUG25-180000-P,1749938299499,53.35
BTC-4JUL25-120000-C,1749938299499,39.45
BTC-15JUN25-100000-C,1749938299499,70.8
BTC-15JUN25-108000-C,1749938299499,37.39
BTC-16JUN25-118000-P,1749938299499,53.65
BTC-29AUG25-114000-C,1749938299499,42.77
BTC-20JUN25-130000-P,1749938299499,67.23
BTC-25JUL25-90000-P,1749938299499,45.52
BTC-26SEP25-110000-P,1749938299499,44.05
BTC-26SEP25-190000-C,1749938299499,52.82
BTC-26SEP25-180000-P,1749938299499,51.45
BTC-27MAR26-60000-C,1749938299499,53.87
BTC-27JUN25-130000-P,1749938299499,49.66
BTC-26DEC25-100000-P,1749938299499,46.66
BTC-27JUN25-180000-P,1749938299499,89.9
BTC-25JUL25-200000-C,1749938299499,67.68
BTC-29AUG25-104000-P,1749938299499,43.06
BTC-26SEP25-300000-P,1749938299500,66.89
BTC-27JUN25-82000-C,1749938299500,62.77
BTC-27JUN25-70000-P,1749938299500,87.92
BTC-16JUN25-96000-P,1749938299500,68.51
BTC-20JUN25-155000-C,1749938299500,92.92
BTC-29AUG25-90000-C,1749938299500,45.38
BTC-29AUG25-150000-C,1749938299500,46.58
BTC-26DEC25-105000-C,1749938299500,46.47
BTC-27MAR26-170000-C,1749938299500,49.48
BTC-26DEC25-70000-C,1749938299500,51.55
BTC-16JUN25-94000-P,1749938299500,79.71
BTC-27MAR26-140000-C,1749938299500,48.21
BTC-29AUG25-150000-P,1749938299500,46.58
BTC-29AUG25-92000-P,1749938299500,44.81
BTC-4JUL25-135000-C,1749938299500,47.97
BTC-27JUN25-109000-C,1749938299500,37.56
BTC-25JUL25-105000-C,1749938299500,40.68
BTC-17JUN25-112000-P,1749938299500,37.09
BTC-25JUL25-135000-C,1749938299500,44.61
BTC-20JUN25-104000-C,1749938299500,39.46
BTC-27MAR26-50000-C,1749938299500,58.03
BTC-4JUL25-118000-C,1749938299500,39.08
BTC-20JUN25-145000-P,1749938299500,85.23
BTC-26DEC25-190000-P,1749938299500,51.24
BTC-16JUN25-118000-C,1749938299500,53.65
BTC-20JUN25-97000-P,1749938299500,50.17
BTC-27MAR26-100000-P,1749938299500,47.83
BTC-20JUN25-103000-C,1749938299500,40.94
BTC-26SEP25-30000-P,1749938299500,89.28
BTC-4JUL25-104000-C,1749938299500,38.66
BTC-25JUL25-114000-P,1749938299500,40.38
BTC-29AUG25-125000-C,1749938299500,43.27
BTC-27JUN25-150000-C,1749938299500,71.35
BTC-26DEC25-80000-C,1749938299500,48.94
BTC-27JUN25-108000-C,1749938299500,37.56
BTC-26SEP25-55000-C,1749938299500,63.78
BTC-27JUN25-88000-P,1749938299500,54.46
BTC-17JUN25-100000-C,1749938299500,48.03
BTC-17JUN25-111000-C,1749938299500,35.05
BTC-26DEC25-210000-C,1749938299500,52.49
BTC-29AUG25-122000-C,1749938299500,43.04
BTC-27JUN25-92000-C,1749938299500,49.65
BTC-25JUL25-88000-P,1749938299500,46.65
BTC-25JUL25-70000-P,1749938299500,60.9
BTC-27JUN25-280000-P,1749938299500,127.49
BTC-17JUN25-109000-P,1749938299500,33.04
BTC-25JUL25-120000-P,1749938299500,40.92
BTC-26DEC25-115000-P,1749938299500,46.53
BTC-25JUL25-96000-C,1749938299500,43.01
BTC-25JUL25-80000-P,1749938299500,52.01
BTC-25JUL25-150000-C,1749938299500,50.61
BTC-20JUN25-95000-C,1749938299500,53.78
BTC-17JUN25-105000-C,1749938299500,35.61
BTC-4JUL25-150000-P,1749938299500,57.97
BTC-27JUN25-180000-C,1749938299500,89.9
BTC-4JUL25-111000-P,1749938299500,37.76
BTC-27MAR26-20000-P,1749938299500,82.48
BTC-15JUN25-110000-P,1749938299500,43.72
BTC-20JUN25-110000-C,1749938299500,36.9
BTC-27JUN25-260000-P,1749938299500,118.92
BTC-15JUN25-101000-P,1749938299500,61.93
BTC-29AUG25-96000-P,1749938299500,43.98
BTC-26DEC25-200000-P,1749938299500,51.98
BTC-27JUN25-85000-C,1749938299500,58.33
BTC-17JUN25-105000-P,1749938299500,35.61
BTC-15JUN25-112000-C,1749938299500,43.81
BTC-25JUL25-88000-C,1749938299500,46.65
BTC-15JUN25-114000-P,1749938299500,50.35
BTC-29AUG25-110000-C,1749938299500,42.75
BTC-17JUN25-122000-C,1749938299500,63.46
BTC-17JUN25-114000-P,1749938299500,43.7
BTC-15JUN25-104000-C,1749938299500,33.51
BTC-4JUL25-145000-P,1749938299500,55.43
BTC-26DEC25-40000-C,1749938299500,68.31
BTC-29AUG25-104000-C,1749938299500,43.06
BTC-17JUN25-108000-C,1749938299500,32.74
BTC-29AUG25-108000-C,1749938299500,42.82
BTC-20JUN25-111000-P,1749938299500,37.13
BTC-15JUN25-104500-P,1749938299500,29.05
BTC-29AUG25-170000-P,1749938299500,50.88
BTC-15JUN25-103000-C,1749938299500,44.77
BTC-26SEP25-50000-C,1749938299500,67.79
BTC-20JUN25-155000-P,1749938299500,92.92
BTC-29AUG25-94000-P,1749938299500,44.35
BTC-27JUN25-120000-P,1749938299500,41.13
BTC-25JUL25-140000-P,1749938299500,46.13
BTC-15JUN25-103000-P,1749938299500,44.77
BTC-25JUL25-112000-C,1749938299500,40.3
BTC-15JUN25-120000-C,1749938299501,63.86
BTC-27JUN25-100000-P,1749938299501,41.53
BTC-4JUL25-125000-P,1749938299501,41.76
BTC-20JUN25-104000-P,1749938299501,39.46
BTC-20JUN25-106000-C,1749938299501,37.38
BTC-27JUN25-140000-C,1749938299501,58.95
BTC-26DEC25-110000-C,1749938299501,46.47
BTC-20JUN25-117000-C,1749938299501,43.53
BTC-27JUN25-20000-C,1749938299501,140.5
BTC-26SEP25-95000-C,1749938299501,45.01
BTC-27JUN25-107000-C,1749938299501,37.55
BTC-20JUN25-122000-C,1749938299501,51.03
BTC-20JUN25-90000-P,1749938299501,64.44
BTC-25JUL25-125000-C,1749938299501,41.77
BTC-15JUN25-102000-P,1749938299501,52.19
BTC-26SEP25-95000-P,1749938299501,45.01
BTC-25JUL25-70000-C,1749938299501,60.9
BTC-26SEP25-120000-C,1749938299501,44.43
BTC-4JUL25-96000-P,1749938299501,42.45
BTC-15JUN25-113000-C,1749938299501,45.12
BTC-15JUN25-103500-C,1749938299501,38.67
BTC-4JUL25-104000-P,1749938299501,38.66
BTC-26SEP25-65000-C,1749938299501,56.94
BTC-27JUN25-220000-P,1749938299501,108.45
BTC-4JUL25-102000-C,1749938299501,39.31
BTC-15JUN25-100000-P,1749938299501,70.8
BTC-26SEP25-90000-C,1749938299501,45.89
BTC-26SEP25-280000-P,1749938299501,63.01
BTC-20JUN25-114000-C,1749938299501,39.41
BTC-20JUN25-94000-C,1749938299501,55.85
BTC-25JUL25-100000-C,1749938299501,41.78
BTC-26SEP25-400000-P,1749938299501,80.61
BTC-26SEP25-200000-P,1749938299501,54.75
BTC-15JUN25-105000-C,1749938299501,25.44
BTC-26SEP25-210000-C,1749938299501,55.51
BTC-4JUL25-100000-C,1749938299501,40.19
BTC-27JUN25-300000-P,1749938299501,134.97
BTC-27MAR26-230000-C,1749938299501,52.27
BTC-29AUG25-40000-P,1749938299501,82.67
BTC-29AUG25-190000-C,1749938299501,55.73
BTC-26SEP25-300000-C,1749938299501,66.89
BTC-27MAR26-120000-P,1749938299501,47.58
BTC-27MAR26-30000-C,1749938299501,71.55
BTC-29AUG25-116000-P,1749938299501,42.79
BTC-15JUN25-108000-P,1749938299501,37.39
BTC-26SEP25-210000-P,1749938299501,55.51
BTC-4JUL25-150000-C,1749938299501,57.97
BTC-27MAR26-260000-P,1749938299501,54.09
BTC-27JUN25-84000-P,1749938299501,59.37
BTC-26DEC25-30000-P,1749938299501,77.82
BTC-26DEC25-125000-C,1749938299501,46.84
BTC-27JUN25-30000-C,1749938299501,140.5
BTC-27MAR26-130000-C,1749938299501,47.88
BTC-26DEC25-230000-C,1749938299501,53.87
BTC-15JUN25-101000-C,1749938299501,61.93
BTC-29AUG25-96000-C,1749938299501,43.98
BTC-25JUL25-98000-C,1749938299501,42.32
BTC-26DEC25-85000-C,1749938299501,48.06
BTC-27MAR26-65000-P,1749938299501,52.25
BTC-26DEC25-95000-P,1749938299501,46.94
BTC-15JUN25-105500-P,1749938299501,22.18
BTC-20JUN25-96000-C,1749938299501,52.01
BTC-27JUN25-30000-P,1749938299501,140.5
BTC-4JUL25-107000-P,1749938299501,37.86
BTC-20JUN25-97000-C,1749938299501,50.17
BTC-4JUL25-98000-P,1749938299501,41.2
BTC-27JUN25-150000-P,1749938299501,71.35
BTC-16JUN25-122000-C,1749938299501,63.7
BTC-26SEP25-20000-P,1749938299501,104.1
BTC-26DEC25-65000-P,1749938299501,53.36
BTC-4JUL25-120000-P,1749938299501,39.45
BTC-20JUN25-98000-P,1749938299501,48.4
BTC-27JUN25-110000-C,1749938299501,37.57
BTC-4JUL25-90000-P,1749938299501,47.31
BTC-15JUN25-118000-C,1749938299501,61.33
BTC-20JUN25-125000-P,1749938299501,57.41
BTC-20JUN25-110000-P,1749938299501,36.9
BTC-25JUL25-100000-P,1749938299501,41.78
BTC-26DEC25-30000-C,1749938299501,77.82
BTC-27JUN25-120000-C,1749938299501,41.13
BTC-15JUN25-116000-P,1749938299501,53.84
BTC-4JUL25-103000-C,1749938299501,39.02
BTC-29AUG25-80000-P,1749938299501,49.21
BTC-16JUN25-108000-P,1749938299501,29.75
BTC-16JUN25-114000-C,1749938299501,43.05
BTC-27JUN25-97000-P,1749938299501,44.39
BTC-15JUN25-106000-C,1749938299501,22.09
BTC-25JUL25-180000-P,1749938299501,61.45
BTC-16JUN25-116000-P,1749938299501,50.15
BTC-27MAR26-230000-P,1749938299501,52.27
BTC-27MAR26-280000-P,1749938299501,54.66
BTC-27MAR26-120000-C,1749938299501,47.58
BTC-20JUN25-105000-P,1749938299501,38.64
BTC-27MAR26-180000-P,1749938299501,50.01
BTC-25JUL25-170000-P,1749938299501,58.24
BTC-27MAR26-240000-C,1749938299501,52.6
BTC-27JUN25-20000-P,1749938299501,140.5
BTC-27JUN25-109000-P,1749938299501,37.56
BTC-4JUL25-105000-P,1749938299501,38.25
BTC-27JUN25-400000-C,1749938299501,136.81
BTC-15JUN25-98000-C,1749938299501,76.52
BTC-25JUL25-95000-P,1749938299501,43.41
BTC-29AUG25-102000-C,1749938299501,43.23
BTC-20JUN25-120000-C,1749938299501,48.1
BTC-25JUL25-125000-P,1749938299501,41.77
BTC-29AUG25-100000-C,1749938299501,43.44
BTC-29AUG25-102000-P,1749938299501,43.23
BTC-27MAR26-140000-P,1749938299501,48.21
BTC-4JUL25-112000-C,1749938299501,37.84
BTC-4JUL25-109000-P,1749938299501,37.76
BTC-25JUL25-130000-C,1749938299501,43.22
BTC-4JUL25-101000-C,1749938299501,39.69
BTC-25JUL25-200000-P,1749938299501,67.68
BTC-15JUN25-126000-C,1749938299501,67.14
BTC-26DEC25-300000-C,1749938299501,57.58
BTC-27JUN25-300000-C,1749938299501,134.97
BTC-27MAR26-135000-P,1749938299501,48.0
BTC-26SEP25-125000-C,1749938299501,44.77
BTC-26DEC25-170000-C,1749938299501,49.65
BTC-17JUN25-103000-C,1749938299501,39.87
BTC-25JUL25-108000-P,1749938299501,40.38
BTC-16JUN25-105000-P,1749938299501,32.92
BTC-29AUG25-130000-P,1749938299501,43.74
BTC-29AUG25-70000-C,1749938299501,55.19
BTC-20JUN25-99000-C,1749938299501,46.76
BTC-17JUN25-94000-P,1749938299501,66.48
BTC-27MAR26-100000-C,1749938299501,47.83
BTC-25JUL25-30000-P,1749938299501,124.78
BTC-20JUN25-122000-P,1749938299501,51.03
BTC-17JUN25-101000-P,1749938299501,45.12
BTC-27MAR26-130000-P,1749938299501,47.88
BTC-29AUG25-80000-C,1749938299501,49.21
BTC-20JUN25-140000-P,1749938299501,78.45
BTC-29AUG25-95000-P,1749938299501,44.17
BTC-4JUL25-94000-P,1749938299501,43.93
BTC-4JUL25-99000-P,1749938299501,40.61
BTC-26DEC25-210000-P,1749938299501,52.49
BTC-27JUN25-105000-C,1749938299501,38.2
BTC-16JUN25-109000-P,1749938299501,30.29
BTC-16JUN25-101000-P,1749938299501,48.09
BTC-4JUL25-113000-P,1749938299501,37.92
BTC-27JUN25-65000-P,1749938299501,98.13
BTC-29AUG25-170000-C,1749938299501,50.88
BTC-27MAR26-260000-C,1749938299502,54.09
BTC-20JUN25-105000-C,1749938299502,38.64
BTC-26DEC25-340000-C,1749938299502,60.26
BTC-4JUL25-108000-C,1749938299502,37.75
BTC-26DEC25-60000-P,1749938299502,55.54
BTC-29AUG25-190000-P,1749938299502,55.73
BTC-17JUN25-96000-C,1749938299502,60.64
BTC-15JUN25-102000-C,1749938299502,52.19
BTC-29AUG25-135000-P,1749938299502,44.3
BTC-25JUL25-124000-C,1749938299502,41.71
BTC-25JUL25-122000-C,1749938299502,41.24
BTC-25JUL25-50000-C,1749938299502,86.57
BTC-4JUL25-115000-C,1749938299502,38.11
BTC-26DEC25-120000-C,1749938299502,46.66
BTC-27MAR26-75000-C,1749938299502,50.05
BTC-16JUN25-104000-P,1749938299502,36.48
BTC-25JUL25-84000-C,1749938299502,49.28
BTC-27MAR26-200000-P,1749938299502,51.12
BTC-17JUN25-114000-C,1749938299502,43.7
BTC-26DEC25-180000-P,1749938299502,50.55
BTC-27MAR26-125000-C,1749938299502,47.73
BTC-26SEP25-140000-P,1749938299502,46.2
BTC-26SEP25-80000-C,1749938299502,48.86
BTC-20JUN25-103000-P,1749938299502,40.94
BTC-27MAR26-150000-C,1749938299502,48.64
BTC-17JUN25-109000-C,1749938299502,33.04
BTC-16JUN25-101000-C,1749938299502,48.09
BTC-27JUN25-102000-C,1749938299502,40.14
BTC-27MAR26-110000-C,1749938299502,47.35
BTC-27JUN25-107000-P,1749938299502,37.55
BTC-26SEP25-260000-P,1749938299502,61.79
BTC-27JUN25-78000-P,1749938299502,69.74
BTC-25JUL25-90000-C,1749938299502,45.52
BTC-25JUL25-116000-C,1749938299502,40.52
BTC-25JUL25-85000-C,1749938299502,48.56
BTC-26SEP25-80000-P,1749938299502,48.86
BTC-25JUL25-126000-C,1749938299502,42.03
BTC-29AUG25-112000-P,1749938299502,42.74
BTC-29AUG25-125000-P,1749938299502,43.27
